taxa,PC1,PC2,PC3
PI507687B,20.9883803099223,22.4007139285653,-35.4620961512878
PI507706,35.8787603807068,-9.2044277360565,-29.9678511326776
PI509109,-36.5690837108076,20.0521288427003,-8.18136739120887
PI534645,60.4830205027886,45.9981431027616,35.1152831274652
PI538403,-54.939929493445,17.7332382305201,2.11950161448677
PI543832,5.93974836293311,16.129301596159,12.1825998846693
PI548973,5.02774283050273,-30.8990817981573,27.5518925515551
PI549028,-55.9553726207636,18.4714057768558,3.07419478938669
PI549054,-43.7813369172804,15.6386458642751,-0.374873816021846
PI561277,24.6534135171622,20.7813230931798,-46.6109603064759
PI561307,27.9790953492925,16.9894563624219,-39.3779440741046
PI561314A,35.3403635540971,13.0692545450075,-22.7436499904542
PI561329,20.5535034914421,1.96312512920828,-31.6101302412912
PI561344,50.7308899169146,-0.120529033071285,-47.1663617035196
PI561347,17.7154170337808,10.2899665469566,-27.0569780788053
PI566991,-7.45906114639639,-44.5063297448306,23.2069452744125
PI567175B,19.9358276964904,13.8400969493158,-37.9630263553516
PI567213A,8.34707060013398,22.9769205417396,-22.1932167388057
PI567299A,30.4646674475929,-46.2359947862558,-8.49430249777581
PI567368,30.0241674299893,-38.3936251122733,-13.5566562473359
PI567545,8.30841624028919,-20.1763264064724,-7.72442633689959
PI567686,17.6697485394693,-61.5541814301191,12.9690762353254
PI578329B,19.5506683735074,6.35893531789856,9.45912061316834
PI578401B,7.78915855432144,9.86992796845029,-31.1222846209597
PI578482C,0.933046023584771,-43.4760785380886,17.870734265818
PI583365,39.5664755993352,29.8229793439912,-5.76342963254201
PI587599,-1.22158205275127,-45.383395444013,15.5195898067118
PI587617,-12.7713591043852,-41.1242668710758,30.298903977953
PI587748,1.58600491775078,-40.1680011817651,12.4158108200494
PI587834,-3.55025481910044,-43.756425432488,20.6541311138644
PI587890A,-5.55653765470188,-40.3530032533572,11.3584664329401
PI587900D,-2.53729278640838,-50.3525361672345,28.2466982642849
PI594305,-14.1534951397165,-20.706522709557,10.3830256645112
PI594418B,-8.74429174494805,-32.1131604881028,19.2318535084157
PI594419,-10.5841470747151,-31.8794679691686,18.4456054432124
PI594430B,-14.2524576703852,-30.9291713755317,11.1426575012439
PI594458B,-17.4625999505795,-23.7023380091514,12.8522063053994
PI594579,-8.51638046941233,-39.2611922112152,15.8558593566137
PI594758B,4.15080254186057,-42.2373142434866,17.3871908278635
PI594758C,2.34098069612541,-49.4847055707459,17.3397780077662
PI597407A,-3.52447117009625,12.2685637381863,-13.017358267595
PI603371,16.5995682378296,14.5140338128293,-24.9659191695345
PI603443B,49.4776991401379,-66.9129509594922,-14.3934186547055
PI603519,-4.75066854711836,-34.7930852609967,19.9051271437504
PI603724E,-3.62110414485722,-36.4958147797313,11.3503585328989
PI612720A,20.6355209133422,15.7557714761368,-33.6156056988832
PI612761B,66.14209573167,-81.3684495611068,-6.48131431011252
PI153299,35.8587563342192,4.91647617106025,-29.3188520403279
PI153306,-6.25578747230708,5.93976892170305,-18.557520709922
PI153310,17.8382226251898,-2.86776621676747,-45.074517070889
PI153313,-1.00309498809411,-8.32955318164766,-25.7577619801443
PI153315,5.71247952681738,26.3204444660327,-42.9794345786805
PI153316,9.48174256755598,28.5498489390901,-49.2990436012197
PI153318,5.3257416214673,-5.93744787404738,-22.2255306021054
PI157409,-48.9059298932255,12.164703192872,6.43646696180887
PI157414,-30.7033040266769,17.1047074090573,-8.41950860613933
PI157416,22.7594451472163,-29.6411385851079,-16.1969946467469
PI157419,-56.363400383731,22.5239301718802,0.0869628608614348
PI157421,3.64826674375217,-1.91946965662356,-3.37097780141617
PI157424,-39.062079728484,20.4910669575897,-6.72643981024126
PI157435,68.5966684386356,-77.667787401464,-5.40144949847884
PI157436,-35.3413563944862,18.3976753185804,-8.04583741308883
PI157441,-32.8663537474112,19.3686834162448,-2.40752789526418
PI157442,-34.2506853171932,20.8639508137341,-8.28374410399931
PI157448,-13.068724000152,2.82538187928227,-10.3331486545675
PI157453,-43.143538375515,19.4644745756253,1.01077278773731
PI157468,8.76139855287629,1.39792259264348,-9.61613742692427
PI184042,11.3697811215478,26.3191064068348,-45.0187048128318
PI187150,-45.5822637301671,17.4683756621811,4.06499254998805
PI248408,35.888640995972,-48.1105545198703,-35.7292366028047
PI243551,-53.9056306182459,20.199771413978,2.26332603301426
PI248405,-1.9175343078074,-16.3148468561499,-22.4742526585759
PI253663,10.2752678468885,-57.3703993985175,12.3798934122231
PI290114,33.6239569168807,-44.9079421222858,-30.1475499846912
PI290145,5.70671228554905,-14.2187974423436,-14.3452587206738
PI291296,26.3689481101778,19.730440233947,-39.7586941392556
PI347546B,47.5592579767577,16.2446079209045,-21.7617672193764
PI347548,37.2998558433797,-44.209634179825,-31.255576949802
PI347552A,28.3973387533564,7.99957052756931,-39.9575644747
PI347552C,35.3068279997321,13.290342478092,-24.8635577089172
PI347554,32.614945665018,-25.1218912075022,-28.6292739103042
PI347559B,45.2520921870989,15.3793598348186,-28.7607130105192
PI347560,38.557298005545,-47.8090018999599,-32.1715809751984
PI347561,7.40440718651922,26.6624982856941,-48.5132567623361
PI347563A,-32.38896585116,5.72730557822792,3.90263093095261
PI347563B,31.358773813899,-48.6486250478701,-30.5585935144142
PI347565A,8.085717982257,26.0408609489186,-41.3034988969894
PI347565B,27.649141869135,15.1170502174467,-50.1739909437236
PI347567,6.82197999841126,23.2889959155414,-43.4652284312783
PI347568,20.3609418364446,-20.4239502017479,-23.3583165578425
PI358313,-42.3081693355158,18.8168477568069,3.09972397674204
PI361114,-9.26690526960045,-14.229785498239,-19.1909941199795
PI398223,-38.6192994311521,18.2911325436386,-0.948103546030333
PI398261,-29.9950842912004,19.2740237963884,-7.6914077437795
PI393540,-46.883972700015,12.4361089243352,5.53318751441381
PI398356,-36.0293565323106,16.8036194514377,-10.8228992132482
PI398406,-38.9661082911111,6.73636087253631,1.88714866670731
PI398446,-10.0055520312787,-15.1092423186187,-1.59170117550682
PI398495,-30.191637579254,13.067439557816,-2.65185630600431
PI398903,-46.7061368537807,14.9751979869936,4.92328497092922
PI398909,-32.3831263426664,14.6704422384889,-6.60619542970442
PI398884,-30.9205132139044,10.6517049551211,0.323735872184348
PI398975,-28.217076474616,9.64246220057327,-4.01020777751612
PI407712,24.0749035727883,20.9568578526505,-37.2512346227656
PI408055B,-28.1201224713319,20.6031912629343,-9.44152624974652
PI408071,-44.045346793251,21.2421580868061,-5.86527499956863
PI408132,-26.2796686569969,4.23950697905454,2.76200008116669
PI416854,30.8518644038862,-45.1262002433281,-17.0958913324669
PI416868A,0.0659677593447717,-31.5042333075936,12.5132374345247
PI416929,-53.2016247454397,19.1281437555344,1.9553205283436
PI417142,-43.1897859342092,13.8807078356276,4.55568010372922
PI417274,-45.159123546551,18.1854673338667,-1.00462799490928
PI417452,-44.757781371058,16.5448264362446,5.69106692636399
PI417456,-53.1856928278029,15.552478451151,7.83001139570313
PI417524,2.17271424450463,27.7993018774694,-35.6763172353779
PI423744,-44.2322030969129,9.68081377954828,0.920609799971193
PI423729,-34.7623508944022,8.89824286538943,-3.13774965688059
PI423837A,-26.7836991585524,4.26252475315745,2.82877582307644
PI423948A,-49.6036521305617,16.6771341988294,-0.0461168095064069
PI423977,-48.8717357069059,17.5335283768318,6.25990261975733
PI424169A,-28.8400679848346,2.7459332639578,8.55139829515496
PI424179A,-29.2354656345329,16.3698197043096,-8.97433890079086
PI424190,32.8091942427479,3.69194425028976,-28.5974276783481
PI424191,41.9839872365484,28.9489595734639,-27.0518715405226
PI424192B,-9.27655156654737,-40.4272276940208,28.3531677399841
PI424197,38.6367172865573,-46.6480475371935,-30.1010566186023
PI424247B,-27.3646013361886,11.0714003729339,-3.8140474834832
PI424264,-50.6331036635574,16.7033898689406,4.6898510279371
PI424270A,-27.7373665056493,19.6125884914769,-6.48587801027465
PI424298,8.59709796888582,-29.5081653334442,-2.75573127898191
PI424307,-34.0883940644526,10.8402884075622,-2.23647168314979
PI424395,-43.1959733700477,16.2867418263646,-4.32907274518112
PI424499A,-17.7958666783712,-5.74447500480399,-2.81059531174053
PI436682,37.8932811494029,-0.0129086931176304,-28.8553046444598
PI437088B,1.20518275391149,12.6299352350979,-20.5276439267375
PI430460A,28.167504576313,16.6500702508866,-38.7430528053106
PI437118A,34.8464000674242,-3.0375197225745,-39.9166465530245
PI437132B,37.0299134346473,5.81343395114828,-19.9802646697108
PI437159,49.9546153696112,-14.6679919437383,-23.3039064563368
PI437140,14.7027143095557,24.8418481537042,-47.5504492373309
PI437223B,16.8220245180002,-13.7281283766117,-27.0743252427914
PI437200A,44.6764465640096,-41.4757584909355,-34.1885089368977
PI437200B,41.2141194297287,-41.2577822732417,-34.4249540703284
PI437204,28.24952422816,-32.2145653257966,-28.7169445747493
PI437213,24.117363368955,18.577528569459,-34.064330996035
PI437214,27.1418446882828,-32.2919313967763,-34.2238781045843
PI437215,28.8621029940111,-30.2882825223168,-29.1935358126818
PI437218,-27.4258213582392,10.2139818525984,-8.80518051187251
PI437219,37.294153239755,-49.2059193954868,-34.7904592374896
PI437319,6.48330760184088,5.06212598481873,-13.3024879650108
PI437491,4.78114051705545,17.2748113944955,-29.9629662314904
PI437500B,15.2497217754641,21.1045356092907,-39.9111029558577
PI437596,-25.725564291418,6.20738634603111,-2.6036271296539
PI437635E,35.4226932868378,-13.1360318392859,-28.9955733449868
PI437645A,13.7885180055064,21.5810785450539,-37.1170974797651
PI437858,34.2873624463568,10.8928846805145,-24.6825468160262
PI437888B,14.4597804919736,16.3654813213301,-43.2039197360267
PI437891,14.1477020554263,-8.22597562958591,-17.78253505847
PI437902D,47.8251278739586,24.1416374998359,-15.6997448472604
PI437907,27.2878182981223,-5.2719241253937,-30.7868599620501
PI437909A,40.8253762235665,-8.7926310474064,-26.3068208937752
PI437910C,34.3258703281581,-7.05489677582875,-22.2649141475938
PI437911,12.5736539356284,-7.7209550265022,-13.9192893763178
PI437919,16.0996210561412,-0.709502324015304,-28.197854010807
PI437920A,-6.04449346500436,24.4281751130278,-33.9891576435056
PI437920B,-5.42073956372984,24.7555699706153,-33.8232205039328
PI437945A,8.74839682167062,22.3095072692855,-33.7085849142954
PI437952,25.2924654399698,22.2735549104156,-39.1550180158915
PI437953A,17.0949994910759,23.0415088641608,-42.451894037289
PI437953B,42.7757531725618,-7.78929785386588,-38.7421924986959
PI437955B,51.1931807827063,-4.69403971762125,-32.5627066549746
PI437958,39.6147146573963,15.7152744489571,-38.4498137585541
PI437959,14.7397805126741,16.4706474471696,-28.6785112097273
PI437960,17.4086742421057,17.1514259614079,-40.125420739889
PI437962,54.3210106767381,8.51073361144583,-42.8996020790032
PI437963,25.4118988570162,18.7954105983656,-28.784395931668
PI437967,12.7652825055698,24.1731074549753,-47.9536893657496
PI437968,27.7465621041771,0.890761890712212,-20.9153757193355
PI437971,0.435885934774551,14.6009768416393,-26.6142856240667
PI437972,2.02459786577388,23.9972793203902,-33.5993953601672
PI438036,58.041757196798,0.740614425947667,-18.7428625146057
PI437988,13.2536099894165,14.9718362386244,-31.4648567826671
PI438084,57.5475474489643,-10.3692431661375,-28.7153571057706
PI438093,4.19879985798243,22.6426491792281,-36.795328026771
PI438094B,16.702251170924,24.7051180949369,-34.4642575708033
PI438095,52.4331136337311,-10.5711866373479,-21.6462563548999
PI438097,22.1896821496996,23.2461220182339,-45.2638606180121
PI438099,19.8913685588126,27.9034844591651,-44.3008445176421
PI438101,30.91193043012,13.2747216808973,-40.9213492172968
PI438102,40.644549873014,6.57524665927136,-44.9417024889965
PI438105A,42.0577602265521,19.8265289201324,-46.6212879672786
PI438107,27.8685388351856,25.5546844347621,-43.4692218253163
PI438109B,20.5360292020103,12.5684013680899,-40.4960199112414
PI438109C,27.1635711315242,26.9137490344448,-42.0919013364949
PI438112A,20.7107096310986,14.9288744922748,-40.9797270181939
PI438112B,45.3161152445112,-22.1352713825018,-22.7874809364114
PI438113,14.2892200120675,10.0096243011099,-29.9509417587623
PI438116,20.0438710214243,23.2307230917382,-33.4956430136814
PI438119,-0.0578276784584692,16.4707604522499,-31.1213078004649
PI438122,28.4604143617997,13.3980298975639,-38.3665329711242
PI438123A,50.4408732824119,-15.7334869971655,-37.2808057000685
PI438181B,3.14311979651453,23.6901139887157,-33.1292022458122
PI438256A,19.1722409602709,17.8529459345392,-34.4121903475084
PI438271A,38.7796103807452,-25.9642277446668,-39.9571420655411
PI438245,31.3606351146512,12.7996622500184,-37.7409652471935
PI438353,29.494052159316,-42.300176629436,-31.7284497286568
PI438467,28.7661118743822,-13.6664472701978,-40.1181846706539
PI438474,-17.0473864651282,15.8494902092916,-10.8918403123835
PI438478,-21.5727781081481,5.48581764102473,-13.5275105934595
PI445803,34.7922836688878,4.66377349096768,-28.3458725347132
PI445824B,30.7010337453047,-6.0269561701888,-28.0904200699933
PI458233,-49.8784360951544,19.355307945244,7.86295526159152
PI458231,-28.7624920613957,9.02771097163539,-1.71536984194715
PI458519B,50.7037393818724,-48.408149972293,-11.6525240062087
PI466749B,-5.76206305705783,-44.339586887605,24.382259237655
PI467323A,32.5530652156883,0.685515873570708,-31.046404150666
PI467344,24.463663469378,17.1496614815398,-40.3653050109964
PI468920,46.570903231975,-41.0744035217855,-26.5492030526257
PI468923,52.3590363970204,-66.2479430691465,-11.8272438103735
PI470221,15.8948000477568,3.39192205901098,-34.4843573394429
PI470222,3.50041982763543,5.54714340772629,-19.0989785159357
PI470223,-9.28507250985587,7.47535560145816,-22.2579038063921
PI470224,8.90051658814432,2.00754559928552,-24.8900390029635
PI470225,13.1683439721524,1.18978738882938,-20.7049069856302
PI470226,15.2037325847524,-19.4179188405856,-19.4750882050145
PI470227A,4.78374596565213,-3.85077875956153,-21.5939248275597
PI470929,7.19067895519411,5.06494399606996,-18.7812000142874
PI471899,-2.34123141523426,-31.8136021187252,4.23242286767868
PI473572,19.9161492659871,15.7440351621895,-49.0461166578899
PI475783A,32.8799484311936,-44.1169333706044,-18.1983167612871
PI475783B,51.3719788510501,16.437354848169,2.87590176018781
PI475784,16.8453643615072,-9.28051680707756,-26.8258948294825
PI475785,36.9154534107731,-19.7120559824247,-24.7109077889822
PI475810,36.9696357826565,-54.4340771186646,-19.7378255041903
PI475812A,30.6246224220066,-47.7618337618723,-21.7434342874833
PI475812B,40.7038326970752,-21.0264531977182,-33.0678266156467
PI475813A,28.1238515718916,-41.8248022030975,-11.3333529733253
PI475813B,25.314659013735,-36.2646927697354,-7.62272696206481
PI475814,23.1468226587673,-42.0655196615903,-9.02932909021743
PI475816,47.2132290229365,-61.6165226833192,-18.997358217328
PI475817,29.4764819049762,-55.2804144426516,-23.9498773837094
PI475818,26.9790572422836,-52.83479725317,-23.6470747695617
PI475819,28.3003284043749,-51.6938246114392,-22.7017689608316
PI475820,16.8670193110013,-32.9586963170767,-11.7482592321163
PI475821,37.2290895260542,-53.5830177467368,-18.0783191695588
PI475822A,27.3028249725192,-41.7245673073315,-23.986988825272
PI475822B,27.332020789933,-41.2757216425616,-23.0409604760528
PI475822C,28.9695441172995,-40.7106531990337,-22.4827730480315
PI475823,31.5288260905675,-55.1303967042488,-22.6811677073837
PI475824A,31.6146972788482,-54.9970703624053,-23.0668783627069
PI475824B,33.1290021420055,-54.6555794618569,-22.7636732018877
PI475825,27.3306018084833,16.5741600065522,-33.4169357611357
PI475826,36.2392846967758,-54.1746498672698,-20.8199885107222
PI475827,31.3693740060243,18.6358896300002,-44.0850516698063
PI475828,43.8327987979831,34.5617540138934,-17.4720974620729
PI475829B,25.0515523193737,8.22304326364302,-26.7785644657979
PI475830,36.4790854520243,4.38115252856014,-38.5830032851377
PI476344,43.4185344182656,-1.19628471826738,-14.8888924503326
PI476345,56.3741869464359,-0.885295823291934,-36.3346573135002
PI476348,39.2343546500578,-21.9646051375605,-32.2527882445005
PI476349,39.4491121509147,24.8299901241314,-20.9931535154585
PI476350A,19.3408280959195,-21.5238859222075,-23.8206440392991
PI476350B,33.4717979233376,12.2703963558453,-39.0125921459517
PI476350C,42.0300031179373,11.5389276099267,-18.7350949330477
PI476351,-2.46043825920631,-16.8474479895571,-21.6987360888912
PI476352B,49.1775082400147,-0.197347862326129,-29.6288745906299
PI476352C,22.0549738565724,5.74717380815197,-38.2107046736332
PI476880,-13.4374176514037,-23.2908684920804,14.5646064849331
PI476887,-8.4394003248012,-29.3518004087232,14.6769708508774
PI476911,15.1117483203856,-12.2988684069584,-19.1037207550779
PI476914,43.8224077869563,10.8142968123633,18.9261548721489
PI476936,-5.99468495878499,-27.1741844785838,13.2565876800974
PI476939,-9.56696188927944,-29.2329636969994,9.06513830896536
PI476942,-9.76951045415058,-28.6222535951282,9.19258503076339
PI479709,30.7500830292757,31.0235668108057,-48.2860105137893
PI479710,22.589323158425,11.8334973286489,-33.3324448424664
PI479711,19.1013370084152,-19.8754898374969,-23.3756310664539
PI479712,15.9790696260156,8.43343091281411,-18.6684975557838
PI479713,17.9178499102902,16.3518028175615,-40.5412999399264
PI479714,37.7312624470266,4.94785334806653,-28.8294262276214
PI479715,16.2174823647968,20.639730773566,-45.3450214180668
PI479716,21.2082101610617,20.3503018645002,-46.5017700856189
PI479717,30.5066481982468,-0.0985289445126298,-17.8001446263912
PI479718A,29.8170635460571,14.5164749158162,-36.2323752730659
PI479719,41.060881364448,12.1227046847338,-39.5336516388987
PI479721,23.2235748491729,0.345538707725228,-33.73359660786
PI479722,12.1385666494436,10.0371682061976,-34.0150738518151
PI479723,-3.05641967127863,9.94441552242809,-10.8172909767155
PI479724A,37.1091220329047,-8.65825620232751,-31.2001356574974
PI479724B,33.1343148114796,9.7834977900813,-31.230439993542
PI479725B,36.9822713350844,4.66998530585221,-26.3718227402904
PI479728A,21.9177257445959,-7.35583000447409,-26.9240738432573
PI479728B,11.1720371038406,6.46247748960808,-31.6007751688229
PI479729,2.03057681882031,8.78186141003519,-18.9377071363235
PI506523,-19.3251653079695,13.8675022496365,-7.75086814521877
PI479740,31.2691019265543,15.0258626968437,-32.5783282314999
PI494526,-22.5882565051516,9.01157882582498,-10.9690320256628
PI495017B,36.7709673918413,-55.3789687474151,-9.39068029047871
PI495020,9.45129993302763,-50.9279769803453,11.0051638486489
PI499957,34.8863738570761,-39.6964144894739,-24.4596572711001
PI503339B,19.9825671516556,12.6776284220367,-39.5485901146011
PI504485,-55.0027851732086,14.0247201268676,7.43979036371982
PI506525,-19.2687528278291,16.5056704732548,-13.9910925269326
PI506527,-19.9711380723046,13.6606967394686,-14.248034835368
PI506609,1.97394673869068,30.7100348244937,-26.4722817232636
PI506610,-44.0797737467546,22.0918135837029,-7.90081520299046
PI506634,39.8007936711904,-58.2903617946217,-10.1902002673215
PI506637,-56.9971981130377,20.3140766025415,0.407696179396131
PI506701,-35.3992718707476,11.5974911362033,2.1115081623683
PI506705,-47.7769717410769,11.6110100626957,6.85153979207249
PI506733A,-27.9860133736339,17.311349591915,-5.04578131503128
PI506942,14.6776785270108,13.7691054569316,-38.4648015821608
PI506973,-51.8039713594717,15.7523565480366,4.55958591759325
PI506993,-53.3932012131201,22.8647667796401,2.12520172305791
PI506853,-51.1009017006722,17.608490112316,3.2483919582673
PI506901,-48.9557424519023,21.364742026936,0.590172339010339
PI507082A,-48.7827441373875,14.0290278454982,8.48346705143681
PI507082B,-48.9271235086561,13.2682566545872,7.77088957370678
PI507022,-17.4899213273534,11.6354623689719,-14.8832714134393
PI507094,-54.5667673711141,18.1995222975056,3.65021550244824
PI507107,-47.4958390987409,17.1449453111048,5.33832944832568
PI507200,-43.6035117916441,16.0565108058294,6.93838059041069
PI507221,-44.023244091132,17.4671169611593,6.88513110122913
PI507320A,-49.4219760288648,15.5139158833555,6.7013483717336
PI507320B,-51.1846978104737,17.3246710988293,10.1137540058394
PI507325,1.13599506813507,-47.324187559857,16.9228418336797
PI507353,-49.9461847607417,14.7481434987635,1.15811277936535
PI507354,28.582363873235,-27.8630713451775,-36.560529885045
PI507367,-7.01141632901561,18.1723886965645,-12.6687956579352
PI507379,-53.6627966300856,18.1363544676812,0.696945826232405
PI507390,-45.2586047562271,13.2495228869535,3.46890916980135
PI507309,-57.8159705976953,24.7424075954751,-0.0615345356052362
PI507341,-13.9211010670951,-13.2501378037416,-1.23932584579967
PI507404,-37.0419252376133,19.8223019537581,0.367973841408078
PI507419,-51.4369112298208,16.8668205999655,3.51935278679555
PI507430,-23.8719565185425,17.7924185659554,8.27267786723903
PI507432,-49.8143076133518,17.4135352209298,4.78928112851633
PI507443,-28.5341989081263,3.4770698016168,3.53165256327734
PI507458,-12.7223756899391,-12.2842641657635,4.31028109052273
PI507467,0.484607171207737,22.2295383005513,-7.77667480138653
PI507480,-2.93226103974378,21.2941038542681,5.51445407176856
PI507481,-41.900571436332,18.8769621544099,-3.89252440154911
PI507483,-9.44987149212419,23.3770409028408,0.935727709500642
PI507491,-52.5379974535258,20.7047493618247,6.83673445984586
PI507492,-37.8048225725295,22.7251148390354,1.40373932336492
PI507502,-4.81588587108824,27.7832856519877,14.6521314918309
PI507520,-51.5148843121078,11.6506561195737,0.241565898743201
PI507521,-19.3109606979991,-8.63744321094271,-5.71408943485822
PI507530,-53.2581694677335,20.2145917373092,4.39387816328164
PI507540,-49.1619082416109,18.3428596135008,2.07476361062838
PI507543,43.8175349851638,8.79864847350413,-39.9508052116301
PI507548,-49.0303608541649,13.2396416762657,1.75689094091161
PI507552,-47.1232128714653,14.9159265597067,-0.0975170783637268
